,id,murcko,label,type,cluster,mpo,reclustered
0,O=C(S)c1ccccc1,c1ccccc1,TA1,False,1,4.75,False
1,CC1(C)CCN(c2ccc(C(=O)S)cc2)CC1,c1ccc(N2CCCCC2)cc1,TA2,False,5,4.089388393,True
2,Cc1nc(-c2ccccc2)sc1C(=O)S,c1ccc(-c2nccs2)cc1,TA3,False,5,5.248,True
3,COc1cc2c(cc1OC)C(c1ccccc1)N(CC(=O)S)CC2,c1ccc(C2NCCc3ccccc32)cc1,TA4,False,5,5.369704458,True
4,COc1cc(OC)cc(C(=O)S)c1,c1ccccc1,TA5,False,1,5.5265,False
5,O=C(S)c1cccc2ccccc12,c1ccc2ccccc2c1,TA7,False,5,4.683090083,True
6,O=C(S)c1ccc(OC(F)(F)F)cc1,c1ccccc1,TA8,True,1,4.560996307,False
7,O=C(S)c1ccno1,c1cnoc1,TA10,False,5,4.75,True
8,O=C(S)C(c1ccccc1)c1ccccc1,c1ccc(Cc2ccccc2)cc1,TA11,False,4,4.020191894,False
9,O=C(S)Cc1c[nH]c2ccccc12,c1ccc2[nH]ccc2c1,TA12,False,0,4.998,False
10,Cn1c(=O)c2c(ncn2CC(=O)S)n(C)c1=O,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,TA13,True,6,5.75,False
11,O=C(S)c1ccc(-c2ccc(F)cc2)cc1,c1ccc(-c2ccccc2)cc1,TA14,False,5,3.887190894,False
12,O=C(S)Cn1c2ccccc2c2ccccc21,c1ccc2c(c1)[nH]c1ccccc12,TA15,False,5,4.61543122,True
13,O=C(S)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1,TA16,False,3,4.32266791,False
14,O=C(S)c1ccc(CCc2ccccn2)cc1,c1ccc(CCc2ccccn2)cc1,TA17,False,5,5.154163063,True
15,Cn1cc(C(=O)S)c2cc(-c3cncnc3)ccc21,c1ncc(-c2ccc3[nH]ccc3c2)cn1,TA19,False,0,5.75,False
16,COc1ccccc1-c1ccc(C(=O)S)cc1,c1ccc(-c2ccccc2)cc1,TA21,True,5,4.502567341,False
17,CCN1CCC(c2ccc(C(=O)S)cc2)CC1,c1ccc(C2CCNCC2)cc1,TA22,False,5,3.767872173,True
18,CCOc1ccc(-c2ccc3c(c2)c(C(=O)S)cn3C)cc1F,c1ccc(-c2ccc3[nH]ccc3c2)cc1,TA23,False,0,3.927142374,False
19,COc1ccc(Cc2ccc(C(=O)S)cc2)c(OC)c1OC,c1ccc(Cc2ccccc2)cc1,TA24,True,4,5.058331731,False
20,O=C(S)c1ccc(-c2ccccn2)cc1,c1ccc(-c2ccccn2)cc1,TA25,False,5,5.248,True
21,Cn1cc(C(=O)S)c2cc(-c3ccc(S(C)(=O)=O)cc3)ccc21,c1ccc(-c2ccc3[nH]ccc3c2)cc1,TA26,True,0,5.75,False
22,CC(C)n1cc(C(C(=O)S)c2cn(C(C)C)c3ccccc23)c2ccccc21,c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1,TA27,True,3,2.9435305,False
23,O=C(S)CC1Oc2ccccc2NC1=O,O=C1COc2ccccc2N1,TA28,False,2,5.5,False
24,O=C(S)c1cc(C(F)(F)F)nn1-c1ccccc1,c1ccc(-n2cccn2)cc1,TA29,False,5,5.152129201,True
25,O=C(S)c1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1,c1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1,TA31,False,5,3.1057849,True
26,O=C(S)CCN1C(=O)COc2ccc(Cl)cc21,O=C1COc2ccccc2N1,TA32,True,2,5.75,False
27,O=C(S)CC1Sc2ccccc2NC1=O,O=C1CSc2ccccc2N1,TA34,False,5,5.5,True
28,O=C(S)CCc1nnc(-c2ccccc2)o1,c1ccc(-c2nnco2)cc1,TA35,False,5,5.75,True
29,O=C(S)c1ccc(-c2nc3cc(Cl)c(Cl)cc3[nH]2)cc1,c1ccc(-c2nc3ccccc3[nH]2)cc1,TA36,False,5,4.740745053,True
30,Cn1cc(C(=O)C2CCCCC2)c2cc(C(=O)S)ccc21,O=C(c1c[nH]c2ccccc12)C1CCCCC1,TA40,False,5,4.637036023,True
31,O=C(S)c1ccc(C2CCN(C(=O)c3ccno3)CC2)cc1,O=C(c1ccno1)N1CCC(c2ccccc2)CC1,TA43,False,5,5.75,True
32,Cn1cc(C(=O)c2cccs2)c2cc(C(=O)S)ccc21,O=C(c1cccs1)c1c[nH]c2ccccc12,TA45,False,5,4.935951369,True
33,O=C(S)c1ccco1,c1ccoc1,TA9,False,5,5.2605,True
34,O=C(S)c1ccc2oc(-c3ccccc3)cc2c1,c1ccc(-c2cc3ccccc3o2)cc1,TA41,False,5,4.461292078,True
35,O=C(S)Cc1ccc(C#Cc2ccccc2)cc1,C(#Cc1ccccc1)c1ccccc1,TA39,False,5,3.575912744,True
