SMILES,Label,mpo
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CN3CCN(c4ccccc4)CC3)cc2)c1,SZ1TA5,4.425254
O=C(NS(=O)(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1)c1ccc(CCc2ccccn2)cc1,SZ1TA17,3.314221
O=C(NS(=O)(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1)c1ccc2oc(-c3ccccc3)cc2c1,SZ1TA41,2.979668
O=C(NS(=O)(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1)c1cccc(NCCc2ccccc2)c1,SZ1TA44,2.850812
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(CN4CCN(c5ccccc5)CC4)cc3)ccc21,SZ1TA45,2.941229
COc1cc2c(cc1OC)C(c1ccccc1)N(CC(=O)NS(=O)(=O)c1ccc(CN(C)CCc3ccccc3)cc1)CC2,SZ2TA4,2.583545
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CN(C)CCc3ccccc3)cc2)c1,SZ2TA5,4.140924
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)CCCN2C(=O)C(c3ccc(F)cc3F)=C(c3ccc(F)cc3F)C2=O)cc1,SZ2TA20,1.85058719
CCOc1ccc(-c2ccc3c(c2)c(C(=O)NS(=O)(=O)c2ccc(CN(C)CCc4ccccc4)cc2)cn3C)cc1F,SZ2TA23,2.263232
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc(-c3ccccn3)cc2)cc1,SZ2TA25,3.020938
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc3c(ccn3Cc3ccc(C(F)(F)F)cc3C(F)(F)F)c2)cc1,SZ2TA30,2.263193
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc3oc(-c4ccccc4)cc3c2)cc1,SZ2TA41,2.380663
