SMILES,Label,mpo
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CN3CCN(c4ccccc4)CC3)cc2)c1,SZ1TA5,4.42525366
Cn1cc(C(=O)NS(=O)(=O)c2ccc(CN3CCN(c4ccccc4)CC3)cc2)c2cc(-c3cncnc3)ccc21,SZ1TA19,3.84762991
Cn1cc(C(=O)C2CCCCC2)c2cc(C(=O)NS(=O)(=O)c3ccc(CN4CCN(c5ccccc5)CC4)cc3)ccc21,SZ1TA40,2.79177092
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1,SZ2TA2,2.471251531
COc1cc2c(cc1OC)C(c1ccccc1)N(CC(=O)NS(=O)(=O)c1ccc(CN(C)CCc3ccccc3)cc1)CC2,SZ2TA4,2.583544848
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CN(C)CCc3ccccc3)cc2)c1,SZ2TA5,4.140923514
CCOc1ccc(-c2ccc3c(c2)c(C(=O)NS(=O)(=O)c2ccc(CN(C)CCc4ccccc4)cc2)cn3C)cc1F,SZ2TA23,2.263231943
COc1ccc(Cc2ccc(C(=O)NS(=O)(=O)c3ccc(CN(C)CCc4ccccc4)cc3)cc2)c(OC)c1OC,SZ2TA24,2.298590071
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc(C(c3c[nH]c4ccccc34)c3c[nH]c4ccccc34)cc2)cc1,SZ2TA31,1.650641816
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2cccc(NCCc3ccccc3)c2)cc1,SZ2TA44,2.251097438
COc1cc2c(cc1OC)C(c1ccccc1)N(CC(=O)NS(=O)(=O)c1ccc(NC(C)=O)cc1)CC2,SZ3TA4,3.702468
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CNCCSc3ccccc3)cc2)c1,SZ6TA5,3.744341685
Cn1cc(C(=O)C2CCCCC2)c2cc(C(=O)NS(=O)(=O)c3ccc(CNCCSc4ccccc4)cc3)ccc21,SZ6TA40,1.888654533
O=C(NS(=O)(=O)c1ccc(CNCCSc2ccccc2)cc1)c1cccc(NCCc2ccccc2)c1,SZ6TA44,2.100936647
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(CNCCSc4ccccc4)cc3)ccc21,SZ6TA45,2.011703407
O=C(NS(=O)(=O)c1ccc2ccc(NCCSc3ccccc3)cc2c1)c1ccc2c(ccn2Cc2ccc(C(F)(F)F)cc2C(F)(F)F)c1,SZ7TA30,2.5
Cn1cc(C(=O)C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)c3ccc4ccc(NCCSc5ccccc5)cc4c3)cc21,SZ7TA40,2.260909
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc4ccc(NCCSc5ccccc5)cc4c3)ccc21,SZ7TA45,2.260909
COc1cc2c(cc1OC)C(c1ccccc1)N(Cc1ccc(S(=O)(=O)NC(=O)c3ccc(-c4ccccc4OC)cc3)cc1)CC2,SZ8TA21,2.614139
