SMILES,Label,mpo
O=C(NS(=O)(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1)c1cccc2ccccc12,SZ1TA7,3.471901148
O=C(NS(=O)(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1)c1cccc(NCCc2ccccc2)c1,SZ1TA44,2.850811502
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(CN4CCN(c5ccccc5)CC4)cc3)ccc21,SZ1TA45,2.941228639
Cc1nc(-c2ccccc2)sc1C(=O)NS(=O)(=O)c1ccc(CN(C)CCc2ccccc2)cc1,SZ2TA3,2.776611121
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CN(C)CCc3ccccc3)cc2)c1,SZ2TA5,4.140923514
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2cccc3ccccc23)cc1,SZ2TA7,3.064610607
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc(-c3ccc(F)cc3)cc2)cc1,SZ2TA14,2.348875881
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)CCc2nnc(-c3ccccc3)o2)cc1,SZ2TA35,3.579710943
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc3oc(-c4ccccc4)cc3c2)cc1,SZ2TA41,2.38066312
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2cccc(NCCc3ccccc3)c2)cc1,SZ2TA44,2.251097438
CN(CCc1ccccc1)Cc1ccc(S(=O)(=O)NC(=O)c2ccc3c(c2)c(C(=O)c2cccs2)cn3C)cc1,SZ2TA45,2.396501935
COc1cc2c(cc1OC)C(c1ccccc1)N(CC(=O)NS(=O)(=O)c1ccc(NC(C)=O)cc1)CC2,SZ3TA4,3.702468
CC(=O)Nc1ccc(S(=O)(=O)NC(=O)c2cccc(NCCc3ccccc3)c2)cc1,SZ3TA44,4.13661582
CC(=O)Nc1ccc(S(=O)(=O)NC(=O)c2ccc3c(c2)c(C(=O)c2cccs2)cn3C)cc1,SZ3TA45,3.453497651
Cc1ccc(S(=O)(=O)NC(=O)c2ccc3oc(-c4ccccc4)cc3c2)cc1,SZ5TA41,3.850491973
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccccc3)ccc21,SZ5TA45,4.160964701
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CNCCSc3ccccc3)cc2)c1,SZ6TA5,3.744341685
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(CNCCSc4ccccc4)cc3)ccc21,SZ6TA45,2.011703407
COc1cc(OC)cc(C(=O)NS(=O)(=O)c2ccc(CN(CCSc3ccccc3)Cc3ccc(S(=O)(=O)N=[N+]=[N-])cc3)cc2)c1,SZ9TA5,2.75
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(-c4ccc(C(C)(C)C)cc4)cc3)ccc21,SZ11TA45,2.75
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(CNc4cccc([N+](=O)[O-])c4)cc3)ccc21,SZ12TA45,1.5
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(COc4ccccc4[N+](=O)[O-])cc3)ccc21,SZ13TA45,1.75
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(COc4ccc5c(=O)cc(-c6ccccc6)oc5c4)cc3)ccc21,SZ14TA45,1.75
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)ccc21,SZ16TA45,2.75
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc2oc(-c3ccccc3)cc2c1,SZ18TA41,3.61493682
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)NS(=O)(=O)c3ccc(Cl)cc3)ccc21,SZ18TA45,3.312380988
COc1ccc(S(=O)(=O)NC(=O)c2ccc3oc(-c4ccccc4)cc3c2)cc1,SZ19TA41,4.407981457
COc1ccc(S(=O)(=O)NC(=O)c2ccc3c(c2)c(C(=O)c2cccs2)cn3C)cc1,SZ19TA45,3.959574611
Cc1ccccc1S(=O)(=O)NC(=O)c1ccc2oc(-c3ccccc3)cc2c1,SZ20TA41,3.85051295
Cc1ccccc1S(=O)(=O)NC(=O)c1cccc(NCCc2ccccc2)c1,SZ20TA44,4.012677111
Cc1ccccc1S(=O)(=O)NC(=O)c1ccc2c(c1)c(C(=O)c1cccs1)cn2C,SZ20TA45,3.547957122
CN(C)c1cccc2c(S(=O)(=O)NC(=O)c3cccc4ccccc34)cccc12,SZ21TA7,4.303117856
CN(C)c1cccc2c(S(=O)(=O)NC(=O)c3ccc4c(c3)c(C(=O)c3cccs3)cn4C)cccc12,SZ21TA45,3.033935094
O=C(NS(=O)(=O)CCN1CCCC2CCCCC21)c1cccc2ccccc12,SZ22TA7,5.054309379
O=C(NS(=O)(=O)CCN1CCCC2CCCCC21)c1ccc(-c2ccc(F)cc2)cc1,SZ22TA14,4.307527619
