SMILES,Label,MPO
O=C(S)c1ccccc1,TA1,4.75
CC1(C)CCN(c2ccc(C(=O)S)cc2)CC1,TA2,4.089388393
Cc1nc(-c2ccccc2)sc1C(=O)S,TA3,5.248
COc1cc2c(cc1OC)C(c1ccccc1)N(CC(=O)S)CC2,TA4,5.369704458
COc1cc(OC)cc(C(=O)S)c1,TA5,5.5265
O=C(S)c1cccc([N+](=O)[O-])c1,TA6,5.75
O=C(S)c1cccc2ccccc12,TA7,4.683090083
O=C(S)c1ccc(OC(F)(F)F)cc1,TA8,4.560996307
O=C(S)c1ccco1,TA9,5.2605
O=C(S)c1ccno1,TA10,4.75
O=C(S)C(c1ccccc1)c1ccccc1,TA11,4.020191894
O=C(S)Cc1c[nH]c2ccccc12,TA12,4.998
Cn1c(=O)c2c(ncn2CC(=O)S)n(C)c1=O,TA13,5.75
O=C(S)c1ccc(-c2ccc(F)cc2)cc1,TA14,3.887190894
O=C(S)Cn1c2ccccc2c2ccccc21,TA15,4.61543122
O=C(S)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,TA16,4.32266791
O=C(S)c1ccc(CCc2ccccn2)cc1,TA17,5.154163063
COc1ccc(/C=C2\SC(=S)N(c3ccc(C(=O)S)cc3)C2=O)c(OC)c1OC,TA18,3.895796095
Cn1cc(C(=O)S)c2cc(-c3cncnc3)ccc21,TA19,5.75
FC(C=C(F)C=C1)=C1C2=C(C3=CC=C(F)C=C3F)C(N(CCCC(S)=O)C2=O)=O,TA20,5.75
COc1ccccc1-c1ccc(C(=O)S)cc1,TA21,4.502567341
CCN1CCC(c2ccc(C(=O)S)cc2)CC1,TA22,3.767872173
CCOc1ccc(-c2ccc3c(c2)c(C(=O)S)cn3C)cc1F,TA23,3.927142374
COc1ccc(Cc2ccc(C(=O)S)cc2)c(OC)c1OC,TA24,5.058331731
O=C(S)c1ccc(-c2ccccn2)cc1,TA25,5.248
Cn1cc(C(=O)S)c2cc(-c3ccc(S(C)(=O)=O)cc3)ccc21,TA26,5.75
CC(C)n1cc(C(C(=O)S)c2cn(C(C)C)c3ccccc23)c2ccccc21,TA27,2.9435305
O=C(S)CC1Oc2ccccc2NC1=O,TA28,5.5
O=C(S)c1cc(C(F)(F)F)nn1-c1ccccc1,TA29,5.152129201
O=C(S)c1ccc2c(ccn2Cc2ccc(C(F)(F)F)cc2C(F)(F)F)c1,TA30,2.557668824
O=C(S)c1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1,TA31,3.1057849
O=C(S)CCN1C(=O)COc2ccc(Cl)cc21,TA32,5.75
O=C(S)/C=C/c1ccc2c(c1)OCO2,TA33,5.39008296
O=C(S)CC1Sc2ccccc2NC1=O,TA34,5.5
O=C(S)CCc1nnc(-c2ccccc2)o1,TA35,5.75
O=C(S)c1ccc(-c2nc3cc(Cl)c(Cl)cc3[nH]2)cc1,TA36,4.740745053
CC(C)n1cc(C(c2ccc(C(=O)S)cc2)c2cn(C(C)C)c3ccccc23)c2ccccc21,TA37,2.3960779
O=C(S)c1cccc(NC2CCCCC2)c1,TA38,4.318283451
O=C(S)Cc1ccc(C#Cc2ccccc2)cc1,TA39,3.575912744
Cn1cc(C(=O)C2CCCCC2)c2cc(C(=O)S)ccc21,TA40,4.637036023
O=C(S)c1ccc2oc(-c3ccccc3)cc2c1,TA41,4.461292078
O=C(S)c1ccc(CN2C(=O)C(c3ccc(F)cc3F)=C(c3ccc(F)cc3F)C2=O)cc1,TA42,2.974278149
O=C(S)c1ccc(C2CCN(C(=O)c3ccno3)CC2)cc1,TA43,5.75
O=C(S)c1cccc(NCCc2ccccc2)c1,TA44,4.123845665
Cn1cc(C(=O)c2cccs2)c2cc(C(=O)S)ccc21,TA45,4.935951369
